﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分（類別）,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
49,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,4,54,臺中市,大雅區,0,0,0,7,,,30,,,,,,,,,,,,,,,,,,,B03,,,3,,1,,,20,20,1,13,4,120.64434,24.234867,3
50,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,5,11,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,B02,,,1,,2,,,40,40,1,12,4,120.613009,24.138692,3
51,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,5,20,臺中市,大里區,0,1,0,7,1,6,50,13,9,1,5,4,6,6,4,4,10,5,5,1,17,2,9,1,1,C03,7,9,1,10,2,11,,85,85,1,12,4,120.686979,24.089901,2
52,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,5,25,臺中市,南屯區,0,0,0,7,,,30,,,,,,,,,,,,,,14,,,,,A12,,,1,,2,,,49,49,1,13,4,120.650758,24.138411,3
53,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,6,26,臺中市,潭子區,0,1,0,5,2,6,50,4,2,1,4,4,6,6,1,1,5,5,4,2,3,3,10,3,1,B03,7,6,1,7,2,4,,10,10,1,13,4,120.692396,24.224896,2
54,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,6,28,臺中市,豐原區,0,2,0,5,2,6,50,4,1,1,4,4,6,6,2,1,1,4,4,1,13,2,9,5,1,C03,7,5,3,19,2,11,,7,7,1,12,4,120.729763,24.243619,2
55,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,6,32,臺中市,豐原區,0,0,0,6,,,40,,,,,,,,,,,,,,17,,,,,C03,,,1,,2,,,50,50,1,12,4,120.768847,24.262007,3
56,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,6,39,臺中市,北區,0,1,0,5,2,6,50,4,1,1,4,4,6,6,1,1,10,5,5,2,16,3,10,3,1,B01,7,6,1,8,2,2,,25,25,1,12,4,120.672284,24.170095,2
57,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,6,40,臺中市,南屯區,0,2,0,5,2,6,50,13,9,1,4,4,6,6,4,4,5,5,5,2,11,2,9,1,1,C03,7,9,1,10,2,15,,85,85,1,12,4,120.62875,24.116376,2
58,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,6,42,臺中市,后里區,0,1,0,6,2,6,50,13,9,1,5,4,6,6,4,4,9,4,5,2,16,2,9,2,1,C03,7,1,1,10,2,11,,51,51,1,12,4,120.710695,24.316613,2
59,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,7,13,臺中市,南屯區,0,1,0,7,2,6,50,4,2,1,5,4,6,6,1,1,5,4,4,2,17,2,8,1,1,C03,7,9,1,10,2,14,,84,84,1,6,4,120.61181,24.14869,2
60,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,7,21,臺中市,北屯區,0,0,0,6,,,50,,,,,,,,,,,,,,13,,,,,C03,,,1,,2,,,7,7,1,6,4,120.689287,24.171984,3
61,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,7,30,臺中市,北區,0,1,0,6,2,6,50,3,1,1,5,4,6,6,4,4,5,5,5,2,16,2,7,1,1,C03,7,6,1,10,2,12,,12,12,1,12,4,120.698621,24.158446,2
62,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,7,31,臺中市,北屯區,0,1,0,5,3,6,50,4,1,1,4,4,6,6,4,4,10,5,5,2,15,2,8,2,1,C03,7,9,3,19,2,11,,12,12,1,12,4,120.696691,24.17749,2
63,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,7,40,臺中市,北區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,4,4,5,5,5,2,17,2,9,5,1,C03,7,9,1,10,2,11,,12,12,1,13,4,120.699897,24.152173,2
64,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,7,47,臺中市,神岡區,0,1,0,5,1,6,50,4,1,1,4,4,6,6,1,1,1,4,5,1,16,3,10,1,4,C03,7,5,2,19,2,13,,47,47,1,12,4,120.684161,24.246487,2
65,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,7,50,臺中市,西屯區,0,1,0,5,2,6,30,4,1,1,4,4,6,6,3,1,10,5,5,2,15,3,10,3,1,B03,7,9,1,8,2,6,,20,20,1,12,4,120.648193,24.182872,2
66,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,7,55,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,A12,,,1,,1,,,8,8,1,12,4,120.692194,24.143012,3
67,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,8,22,臺中市,北區,0,0,0,5,,,50,,,,,,,,,,,,,,17,,,,,C03,,,1,,2,,,84,84,1,13,4,120.686001,24.148821,3
68,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,8,23,臺中市,北屯區,0,1,0,5,3,6,50,13,9,1,4,4,6,6,4,4,5,4,5,2,18,2,9,2,1,C03,7,9,1,10,2,12,,59,59,1,13,4,120.72909,24.176652,2
69,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,8,24,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,47,47,1,13,4,120.638929,24.182262,3
70,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,8,36,臺中市,中區,0,1,0,6,2,6,50,3,1,1,5,4,6,6,1,1,10,5,5,2,9,3,10,5,4,A04,7,1,1,1,2,15,,74,74,1,13,4,120.677979,24.143801,2
71,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,8,36,臺中市,北屯區,0,0,0,5,,,50,,,,,,,,,,,,,,14,,,,,B12,,,1,,1,,,49,49,1,12,4,120.72406,24.1675,3
72,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,8,46,臺中市,烏日區,0,0,0,7,,,30,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,84,84,1,12,4,120.637752,24.105139,3
73,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,8,57,臺中市,西屯區,0,0,0,7,,,40,,,,,,,,,,,,,,13,,,,,C03,,,5,,1,,,7,7,1,13,4,120.640024,24.16812,3
74,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,9,0,臺中市,龍井區,0,2,0,6,3,6,50,3,1,1,5,4,6,6,4,4,5,5,5,1,3,2,9,2,1,C03,7,9,1,10,2,12,,6,6,1,13,4,120.525513,24.213566,2
75,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,9,7,臺中市,大肚區,0,1,0,7,2,6,50,13,7,1,5,4,6,6,4,4,1,3,4,1,12,3,10,3,1,B03,7,1,1,8,2,4,,51,51,1,6,4,120.570992,24.120801,2
76,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,9,21,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,8,8,1,6,4,120.68062,24.173926,3
77,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,9,24,臺中市,南區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,59,59,1,6,4,120.650382,24.115816,3
78,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,9,24,臺中市,太平區,0,1,0,7,2,6,30,13,9,1,4,4,6,6,4,4,10,5,5,2,17,3,10,3,1,B12,7,5,1,8,2,5,,20,20,1,12,4,120.727297,24.147722,2
79,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,9,32,臺中市,大里區,0,2,0,6,3,6,50,5,1,1,5,4,6,6,1,1,5,5,5,2,16,2,9,1,1,C03,7,6,1,10,2,12,,11,11,1,13,4,120.701122,24.102868,2
80,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,9,33,臺中市,沙鹿區,0,1,0,7,2,6,30,12,9,1,5,4,6,6,4,4,10,5,5,2,18,2,9,1,1,C03,7,9,1,10,2,12,,84,84,1,13,4,120.567832,24.23396,2
81,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,9,44,臺中市,神岡區,0,0,0,6,,,30,,,,,,,,,,,,,,14,,,,,B03,,,1,,2,,,49,49,1,12,4,120.669696,24.25844,3
82,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,9,48,臺中市,大里區,0,1,0,6,2,6,40,4,1,1,5,4,6,6,4,4,10,5,5,2,17,2,9,2,1,C03,7,9,1,10,2,11,,84,84,1,6,4,120.700555,24.085778,2
83,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,9,49,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,58,58,1,13,4,120.68138,24.154309,3
84,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,9,53,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B01,,,1,,1,,,51,51,1,13,4,120.669353,24.176985,3
85,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,10,17,臺中市,東區,0,3,0,5,2,6,50,4,1,1,4,4,6,6,1,1,10,5,5,2,15,2,9,2,1,C03,7,9,1,10,2,11,,21,21,1,12,4,120.700679,24.127245,2
86,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,10,20,臺中市,霧峰區,0,1,0,5,1,6,40,4,1,1,4,4,6,6,1,1,10,5,5,2,17,3,10,5,4,C03,7,6,5,10,1,16,,85,85,1,13,4,120.693181,24.037941,2
87,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,10,24,臺中市,北屯區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,3,1,10,5,5,2,15,3,10,3,1,B03,7,9,5,8,2,8,,24,24,1,12,4,120.69814,24.166752,2
88,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,10,28,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,59,59,1,13,4,120.643911,24.176254,3
89,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,10,30,臺中市,北區,0,0,0,5,,,30,,,,,,,,,,,,,,,,,,,C03,,,1,,9,,,84,84,1,12,4,120.676932,24.162998,3
90,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,10,30,臺中市,北屯區,0,1,0,7,3,6,50,3,9,1,5,4,6,6,4,4,5,4,5,2,17,3,10,3,1,B03,7,5,1,8,2,2,,84,84,1,12,4,120.72909,24.176652,2
91,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,10,36,臺中市,龍井區,0,2,0,6,2,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,16,2,9,2,1,C03,7,6,1,10,2,14,,65,65,1,6,4,120.579985,24.183809,2
92,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,10,38,臺中市,北區,0,1,0,7,2,6,50,5,1,1,5,4,6,6,1,1,1,4,4,2,16,2,8,1,1,C03,7,15,1,10,2,14,,39,39,1,12,4,120.685954,24.154902,2
93,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,10,44,臺中市,大肚區,0,0,0,7,,,30,,,,,,,,,,,,,,15,,,,,C03,,,1,,2,,,15,15,1,13,4,120.573597,24.163501,4
94,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,10,50,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,8,8,1,13,4,120.678541,24.161395,3
95,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,10,52,臺中市,中區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,84,84,1,13,4,120.681474,24.144717,3
96,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,10,52,臺中市,東區,0,2,0,7,2,6,50,13,8,1,5,4,6,6,4,4,5,5,4,2,17,3,10,3,1,B03,7,7,1,8,2,16,,87,87,1,12,4,120.704206,24.138538,2
97,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,11,6,臺中市,霧峰區,0,0,0,5,,,50,,,,,,,,,,,,,,,,,,,B02,,,1,,2,,,84,84,1,6,4,120.677471,24.064246,3
98,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,11,7,臺中市,北屯區,0,2,0,7,3,6,30,3,1,1,5,4,6,6,4,4,10,5,5,2,16,2,9,2,1,C03,7,6,1,10,2,11,,12,12,1,13,4,120.726685,24.176443,2
99,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,11,13,臺中市,烏日區,0,0,0,7,2,6,30,13,9,1,5,,6,6,4,4,10,5,5,2,14,3,10,3,1,B03,7,2,1,8,1,6,,49,49,1,6,4,120.639204,24.106207,3
100,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,11,30,臺中市,神岡區,0,2,0,5,1,6,50,3,2,1,4,4,6,6,4,4,5,5,5,1,17,2,9,1,4,C03,7,9,1,10,2,11,,7,7,1,12,4,120.680345,24.240637,2
101,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,11,31,臺中市,西區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,1,,,84,84,1,13,4,120.673002,24.152209,3
102,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,11,36,臺中市,新社區,0,1,0,5,2,6,40,11,9,1,4,4,6,6,4,4,5,5,5,1,11,2,9,2,1,C03,7,9,1,9,2,11,,84,84,1,12,4,120.8215,24.174045,2
103,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,11,42,臺中市,南區,0,0,0,5,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,49,49,1,12,4,120.665419,24.123365,3
104,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,11,42,臺中市,太平區,0,0,0,7,,,50,,,,,,,,,,,,,,16,,,,,B03,,,1,,2,,,20,20,1,12,4,120.71707,24.124071,3
105,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,11,44,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,84,84,1,12,4,120.699066,24.141497,3
106,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,11,44,臺中市,西屯區,0,0,0,7,,,30,,,,,,,,,,,,,,14,,,,,B12,,,1,,1,,,49,49,1,13,4,120.666463,24.1763,3
107,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,11,45,臺中市,西區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,84,84,1,12,4,120.663368,24.154667,3
108,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,11,50,臺中市,豐原區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,B03,,,1,,2,,,49,49,1,12,4,120.723263,24.251895,3
109,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,12,4,臺中市,豐原區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,1,1,10,5,5,2,17,3,10,3,1,B03,7,1,1,8,2,8,,51,51,1,13,4,120.721757,24.239186,2
