﻿﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分_類別,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
14,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,12,臺中市,南區,0,0,0,5,,,50,,,,,,,,,,,,,,17,,,,,A12,,,1,,2,,,84,84,1,12,4,120.65746,24.12667,3
15,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,15,臺中市,北區,0,1,0,7,3,6,50,13,8,1,4,4,6,6,4,4,3,4,4,2,17,3,10,5,4,B03,7,14,1,8,2,2,,77,77,1,13,4,120.673193,24.167689,2
16,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,15,臺中市,梧棲區,0,0,0,5,,,40,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,84,84,1,12,4,120.520701,24.224781,3
17,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,19,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,8,8,1,12,4,120.699575,24.149968,3
18,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,19,臺中市,豐原區,0,1,0,6,2,6,30,3,1,1,5,4,6,6,4,4,10,5,5,2,17,2,9,1,1,C03,7,5,1,10,2,11,,84,84,1,12,4,120.739642,24.259263,2
19,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,20,臺中市,大里區,0,0,1,6,3,6,50,4,20,1,4,4,6,6,2,1,5,4,5,2,3,3,10,3,1,B03,7,6,1,8,2,5,,10,10,1,12,4,120.695578,24.109193,2
20,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,20,臺中市,龍井區,0,1,0,6,3,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,17,3,10,3,1,B03,7,6,1,5,2,5,,20,20,1,12,4,120.508971,24.200945,2
21,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,20,臺中市,大甲區,0,1,0,7,2,6,40,13,9,1,5,4,6,6,4,4,6,4,5,1,12,3,10,1,1,F03,7,8,7,21,2,14,,40,40,1,12,4,120.626955,24.350719,2
22,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,32,臺中市,沙鹿區,0,1,0,7,2,6,40,13,8,1,4,4,6,6,4,4,3,5,3,2,17,2,9,1,1,C03,7,9,1,10,2,11,,7,7,1,13,4,120.563795,24.239502,2
23,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,35,臺中市,北屯區,0,0,0,5,,,50,,,,,,,,,,,,,,12,,,,,C03,,,1,,9,,,75,75,1,13,4,120.679735,24.169709,3
24,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,35,臺中市,沙鹿區,0,0,0,5,2,6,60,13,8,1,4,4,6,6,4,4,1,3,4,1,13,,,,,B03,,,1,,1,,,7,7,1,12,4,120.602122,24.248879,3
25,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,36,臺中市,南屯區,0,0,0,5,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,1,,,8,8,1,12,4,120.647597,24.124399,4
26,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,36,臺中市,大里區,0,1,0,6,2,6,50,13,9,1,4,4,6,6,4,4,9,4,5,1,30,2,9,2,1,C03,7,9,1,10,2,16,,84,84,1,12,4,120.691644,24.099887,2
27,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,38,臺中市,烏日區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,1,,,84,84,1,13,4,120.60729,24.122293,3
28,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,40,臺中市,南屯區,0,1,0,5,2,6,50,3,2,1,4,4,6,6,4,4,9,4,5,2,12,3,10,3,1,B03,7,7,3,19,2,2,,40,40,1,12,4,120.647597,24.124399,2
29,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,40,臺中市,西屯區,0,1,0,5,2,6,30,13,9,1,4,4,6,6,4,4,10,5,5,2,1,3,10,1,1,C03,7,9,6,20,9,15,,84,84,1,12,4,120.638367,24.179459,2
30,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,40,臺中市,烏日區,0,1,0,7,2,6,40,13,8,1,5,4,6,6,4,4,1,4,4,1,17,3,10,3,1,B03,7,1,1,8,2,4,,51,51,1,6,4,120.620999,24.105699,2
31,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,43,臺中市,西屯區,0,0,0,6,,,60,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,59,59,1,12,4,120.637296,24.185924,3
32,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,47,臺中市,西屯區,0,1,0,5,2,6,50,3,2,1,4,4,6,6,4,4,10,5,5,2,18,2,9,1,1,C03,7,9,1,10,2,14,,84,84,1,12,4,120.637191,24.178702,2
33,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,49,臺中市,西屯區,0,0,0,7,,,30,,,,,,,,,,,,,,11,,,,,B03,,,1,,2,,,8,8,1,13,4,120.661489,24.203335,3
34,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,50,臺中市,大雅區,0,1,0,5,3,6,50,3,2,1,4,4,6,6,4,4,5,2,4,1,17,2,9,1,1,C03,7,9,1,10,2,14,,84,84,1,12,4,120.63568,24.233958,2
35,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,50,臺中市,大雅區,0,1,0,5,3,6,60,13,8,1,4,4,6,6,4,4,1,3,4,1,30,2,9,1,4,C03,7,9,1,10,2,14,,84,84,1,13,4,120.645344,24.224785,2
36,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,50,臺中市,潭子區,0,1,0,6,2,6,50,4,1,1,5,4,6,6,1,1,1,4,5,1,17,3,10,3,1,B03,7,1,1,8,2,8,,51,51,1,13,4,120.711729,24.209518,2
37,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,50,臺中市,沙鹿區,0,1,0,5,2,6,40,3,1,1,4,4,6,6,1,1,3,4,4,2,17,2,9,1,1,C03,7,8,1,10,2,14,,40,40,1,13,4,120.578133,24.250429,2
38,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,50,臺中市,豐原區,0,1,0,5,2,6,50,4,1,1,4,4,6,6,4,4,10,5,5,2,16,3,10,5,4,B03,7,11,1,8,2,8,,45,45,1,12,4,120.733777,24.253274,2
39,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,53,臺中市,北屯區,0,1,0,6,2,6,50,13,9,1,4,4,6,6,4,4,1,1,5,2,13,2,8,1,1,C03,7,9,1,10,2,11,,7,7,1,6,4,120.690702,24.171465,2
40,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,54,臺中市,大雅區,0,0,0,6,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,48,48,1,12,4,120.656894,24.224989,3
41,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,54,臺中市,北屯區,0,2,0,5,2,6,50,3,1,1,4,4,6,6,2,1,10,5,5,2,17,2,9,5,4,C03,7,15,1,10,2,12,,84,84,1,12,4,120.683466,24.201322,2
42,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,55,臺中市,潭子區,0,0,0,7,,,30,,,,,,,,,,,,,,10,,,,,B03,,,1,,2,,,41,41,1,13,4,120.723003,24.212259,3
43,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,55,臺中市,西屯區,0,2,0,6,2,6,30,3,1,1,4,4,6,6,4,4,10,5,5,2,16,2,9,2,1,C03,7,9,1,10,2,11,,7,7,1,12,4,120.654222,24.160937,2
44,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,55,臺中市,西屯區,0,3,0,7,2,6,50,13,9,1,4,4,6,6,2,3,5,2,5,2,9,2,9,1,1,C03,7,9,1,9,2,11,,84,84,1,13,4,120.6571,24.165187,2
45,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,55,臺中市,大甲區,0,1,0,7,2,6,40,13,9,1,5,4,6,6,4,4,6,4,5,1,17,3,10,3,1,B03,7,7,1,8,2,16,,40,40,1,12,4,120.623001,24.341883,2
46,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,56,臺中市,潭子區,0,1,0,5,2,6,50,4,2,1,4,4,6,6,3,1,5,5,5,2,17,2,8,2,1,C03,7,9,1,10,2,11,,8,8,1,13,4,120.686449,24.210903,2
47,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,56,臺中市,梧棲區,0,1,0,5,2,6,30,4,1,1,4,4,6,6,4,4,10,5,5,2,15,2,7,1,1,C03,7,9,1,10,2,11,,15,15,1,12,4,120.555567,24.258987,2
48,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,57,臺中市,南屯區,0,0,0,5,,,30,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,8,8,1,12,4,120.631242,24.155142,3
49,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,57,臺中市,梧棲區,0,0,0,6,,,40,,,,,,,,,,,,,,14,,,,,A12,,,1,,1,,,49,49,1,6,4,120.526788,24.228684,3
50,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,59,臺中市,烏日區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,43,43,1,13,4,120.617416,24.105978,3
51,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,0,臺中市,大雅區,0,1,0,5,3,6,40,13,8,1,4,4,6,6,4,4,1,5,5,2,17,2,9,1,4,C03,7,12,1,10,2,14,,84,84,1,13,4,120.626636,24.207029,2
52,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,0,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,1,,,7,7,1,12,4,120.665174,24.178325,3
53,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,3,臺中市,潭子區,0,0,0,6,,,30,,,,,,,,,,,,,,,,,,,C03,,,1,,9,,,62,62,1,13,4,120.709335,24.213549,3
54,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,4,臺中市,太平區,0,1,0,6,2,6,30,11,9,1,4,4,6,6,4,4,10,5,5,1,11,2,9,1,1,C03,7,9,1,10,2,14,12,84,84,1,12,4,120.729114,24.140945,2
55,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,7,臺中市,西屯區,0,0,0,5,,,40,,,,,,,,,,,,,,12,,,,,C03,,,1,,1,,,47,47,1,12,4,120.644164,24.201417,3
56,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,8,臺中市,南屯區,0,1,0,5,3,6,50,4,1,1,4,4,6,6,1,1,10,5,5,2,17,2,9,2,1,C03,7,9,1,10,2,12,11,84,84,1,12,4,120.65295,24.136852,2
57,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,10,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,40,40,1,12,4,120.616286,24.146186,3
58,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,10,臺中市,西屯區,0,1,0,6,2,6,50,13,8,1,4,4,6,6,4,4,5,3,4,2,16,3,10,3,1,B03,7,5,1,8,2,2,,47,47,1,12,4,120.652646,24.176464,2
59,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,10,臺中市,沙鹿區,0,0,0,5,2,6,50,13,9,1,4,4,6,6,4,4,4,4,5,2,12,,,,,C03,,,1,,2,,,4,4,1,12,4,120.562468,24.240822,3
60,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,10,臺中市,豐原區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,B03,,,1,,2,,,49,49,1,13,4,120.71174,24.247714,3
61,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,13,臺中市,北屯區,0,2,0,6,2,6,50,4,4,1,4,4,6,6,2,1,1,2,5,2,13,2,8,1,1,C03,7,12,1,10,2,11,,7,7,1,12,4,120.686216,24.181487,2
62,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,14,臺中市,烏日區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,7,7,1,13,4,120.597626,24.110339,4
63,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,14,臺中市,豐原區,0,1,0,6,2,6,40,13,7,1,5,4,6,6,4,4,9,5,4,2,12,3,10,5,4,B03,7,11,1,8,2,8,,45,45,1,13,4,120.708784,24.241164,2
64,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,15,臺中市,南屯區,0,2,0,7,2,6,50,13,9,1,5,4,6,6,4,4,1,4,5,2,13,3,10,3,1,B12,7,9,5,19,2,1,,7,7,1,12,4,120.646723,24.136926,2
65,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,15,臺中市,大甲區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,59,59,1,12,4,120.655593,24.38181,3
66,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,15,臺中市,和平區,0,0,0,5,,,50,,,,,,,,,,,,,,11,,,,,B12,,,1,,2,,,39,39,1,12,4,120.926091,24.181751,3
67,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,16,臺中市,南區,0,1,0,5,2,6,50,4,2,1,4,4,6,6,1,1,10,5,5,2,18,2,9,2,1,C03,7,9,1,10,2,12,,82,82,1,13,4,120.666835,24.115294,2
68,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,16,臺中市,后里區,0,0,0,5,2,6,20,13,9,1,4,4,6,6,4,4,10,5,5,2,12,3,10,3,1,B03,7,9,1,10,1,6,,50,50,1,12,4,120.712873,24.308796,3
69,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,18,臺中市,豐原區,0,0,0,5,,,50,,,,,,,,,,,,,,13,,,,,C03,,,1,,2,,,7,7,1,12,4,120.709906,24.249627,3
70,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,19,臺中市,北屯區,0,0,0,5,,,50,,,,,,,,,,,,,,13,,,,,B12,,,1,,1,,,7,7,1,6,4,120.686574,24.201187,3
71,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,20,臺中市,北區,0,1,0,6,3,6,50,4,1,1,4,4,6,6,4,4,5,5,5,2,15,2,9,2,1,C03,7,9,1,10,2,11,,15,15,1,12,4,120.700605,24.157977,2
72,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,20,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,B03,,,1,,2,,,8,8,1,12,4,120.633692,24.136834,3
73,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,20,臺中市,北屯區,0,0,0,5,,,50,,,,,,,,,,,,,,9,,,,,B03,,,1,,2,,,59,59,1,6,4,120.658124,24.181769,4
74,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,22,臺中市,沙鹿區,0,2,0,5,2,6,50,13,9,1,4,4,6,6,4,4,5,5,5,1,13,2,8,1,1,C03,7,9,1,10,2,11,,7,7,1,6,4,120.55813,24.250911,2
75,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,23,臺中市,大雅區,0,1,0,5,3,6,70,5,2,1,4,4,6,6,1,1,5,2,5,1,18,2,9,1,1,C03,7,5,1,10,2,12,,84,84,1,12,4,120.63045,24.240983,2
76,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,25,臺中市,西屯區,0,0,0,5,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,59,59,1,12,4,120.651804,24.165225,3
77,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,25,臺中市,烏日區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,5,4,5,1,13,2,7,1,1,C03,7,9,1,10,2,11,,7,7,1,6,4,120.627608,24.110178,2
78,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,26,臺中市,南屯區,0,0,0,6,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,59,59,1,12,4,120.623146,24.150402,3
79,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,29,臺中市,西屯區,0,1,0,5,2,6,30,3,1,1,4,4,6,6,4,4,10,5,5,2,13,2,9,5,1,C03,7,5,1,10,2,11,,7,7,1,12,4,120.639414,24.188611,2
80,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,30,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,7,7,1,12,4,120.655755,24.171838,4
81,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,32,臺中市,霧峰區,0,1,0,6,2,6,50,3,9,1,4,4,6,6,4,4,10,5,5,1,17,2,9,2,1,C03,7,9,1,10,2,16,,84,84,1,6,4,120.653769,24.072421,2
82,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,33,臺中市,大里區,0,1,0,5,3,6,50,13,7,1,4,4,6,6,4,4,1,4,5,1,12,2,9,1,1,C03,7,9,1,10,2,14,,7,7,1,12,4,120.678794,24.113147,2
83,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,34,臺中市,北屯區,0,2,0,5,2,6,50,3,1,1,4,4,6,6,4,4,10,5,5,2,16,2,8,5,4,C03,7,6,3,19,2,11,,14,14,1,12,4,120.686396,24.174445,2
84,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,35,臺中市,龍井區,0,0,0,5,2,6,40,13,8,1,4,4,6,6,2,1,3,4,3,2,13,3,10,3,1,B03,7,9,1,8,1,1,,7,7,1,6,4,120.591667,24.18333,3
85,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,36,臺中市,神岡區,0,0,0,5,,,50,,,,,,,,,,,,,,13,,,,,B01,,,1,,2,,,59,59,1,13,4,120.685202,24.249728,3
86,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,37,臺中市,南區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,16,3,10,3,1,B03,7,5,1,6,2,2,,47,47,1,12,4,120.669104,24.128578,2
87,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,44,臺中市,潭子區,0,1,0,7,2,6,50,3,2,1,5,4,6,6,4,4,10,5,5,1,18,2,9,2,1,C03,7,9,1,10,2,14,,59,59,1,13,4,120.714827,24.207235,2
88,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,44,臺中市,霧峰區,0,1,0,5,2,6,50,3,2,1,4,4,6,6,1,1,5,2,4,1,18,2,9,1,1,C03,7,9,1,10,2,14,,43,43,1,6,4,120.700506,24.075603,2
89,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,45,臺中市,烏日區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B12,,,1,,1,,,84,84,1,13,4,120.635943,24.097398,4
90,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,46,臺中市,西區,0,1,0,5,2,6,40,4,1,1,4,4,6,6,1,1,1,4,1,2,18,2,9,1,1,C03,7,9,1,10,2,16,,84,84,1,12,4,120.657929,24.158248,2
91,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,46,臺中市,南區,0,1,0,6,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,18,2,9,2,1,C03,7,9,1,10,2,12,,84,84,1,6,4,120.650081,24.120476,2
92,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,48,臺中市,大甲區,0,1,0,7,2,6,40,13,9,1,5,4,6,6,4,4,6,4,5,2,12,3,10,3,1,B03,7,9,1,8,2,2,,8,8,1,12,4,120.615146,24.347632,2
93,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,49,臺中市,潭子區,0,1,0,6,3,6,50,4,1,1,5,4,6,6,1,1,5,5,5,1,17,3,10,2,1,C03,7,9,3,19,2,11,,7,7,1,13,4,120.673629,24.205689,2
94,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,49,臺中市,東區,0,1,0,5,3,6,50,4,1,1,4,4,6,6,1,1,10,5,5,2,18,2,9,2,1,C03,7,9,1,10,2,15,,84,84,1,12,4,120.696,24.135012,2
95,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,50,臺中市,南屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,9,4,3,2,17,3,10,3,1,B03,7,6,1,8,2,16,,85,85,1,12,4,120.608019,24.151116,2
96,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,50,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,8,8,1,6,4,120.722786,24.160377,3
97,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,50,臺中市,烏日區,0,1,0,7,2,6,50,3,9,1,5,4,6,6,1,1,1,4,4,2,18,2,9,1,1,C03,7,9,1,10,2,14,,84,84,1,6,4,120.641611,24.115441,2
98,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,55,臺中市,神岡區,0,0,0,5,,,50,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,50,50,1,12,4,120.681758,24.249905,3
99,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,59,臺中市,北屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,15,2,9,1,1,C03,7,9,1,10,2,11,,21,21,1,6,4,120.722497,24.174079,2
100,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,8,59,臺中市,西屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,16,3,10,5,4,B03,7,6,1,8,2,8,,11,11,1,13,4,120.652914,24.162846,2
101,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,9,0,臺中市,大雅區,0,1,0,5,3,6,0,4,2,1,4,4,6,6,4,4,8,5,5,1,17,2,9,1,4,C03,7,1,1,10,2,11,,51,51,1,13,4,120.661937,24.218059,2
102,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,9,5,臺中市,北屯區,0,1,0,6,3,6,50,4,1,1,4,4,6,6,1,1,10,5,5,2,13,2,9,2,1,C03,7,9,1,10,1,11,,7,7,1,13,4,120.686306,24.186899,2
103,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,9,5,臺中市,西屯區,0,1,0,7,2,6,30,13,9,1,5,4,6,6,4,4,10,5,5,2,10,3,10,3,1,B03,7,9,1,8,2,8,,8,8,1,13,4,120.629602,24.18916,2
104,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,9,9,臺中市,東區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,9,5,5,2,17,2,9,1,1,F02,7,6,7,21,2,14,,48,48,1,12,4,120.691203,24.134727,2
105,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,9,9,臺中市,西屯區,0,0,0,5,,,40,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,58,58,1,12,4,120.609608,24.184261,3
106,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,9,12,臺中市,神岡區,0,1,0,6,2,6,50,13,7,1,4,4,6,6,4,4,9,4,4,2,16,3,10,5,4,C03,7,11,1,10,2,14,,45,45,1,12,4,120.714176,24.257554,2
107,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,9,15,臺中市,清水區,0,1,0,6,3,6,40,3,1,1,5,4,6,6,4,4,1,4,4,2,16,2,9,2,1,C03,7,9,1,10,2,14,,7,7,1,12,4,120.575017,24.268585,2
