﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分(類別),車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
"11","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","0","49","臺中市","沙鹿區","0","1","0","7","2","6","40","4","1","1","5","4","6","6","1","1","10","5","5","2","18","2","1","6","1","F01","7","9","7","21","2","11","","59","59","1","6","4","120.579645","24.221558","2"
"12","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","0","53","臺中市","烏日區","0","0","0","7","","","50","","","","","","","","","","","","","","17","","","","","C03","","","1","","1","","","59","59","1","6","4","120.630217","24.100194","3"
"13","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","0","56","臺中市","西屯區","0","0","0","7","","","50","","","","","","","","","","","","","","12","","","","","C03","","","1","","1","","","40","40","1","12","4","120.645472","24.175895","4"
"14","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","0","57","臺中市","西屯區","0","0","0","7","","","50","","","","","","","","","","","","","","13","","","","","C03","","","1","","1","","","7","7","1","12","4","120.636965","24.172134","3"
"15","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","0","58","臺中市","南屯區","0","0","0","7","","","50","","","","","","","","","","","","","","14","","","","","B03","","","1","","2","","","49","49","1","12","4","120.642548","24.145748","3"
"16","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","0","59","臺中市","北區","0","0","0","7","1","6","50","4","2","1","5","4","6","6","2","1","10","5","5","2","17","","","","","C03","","","1","","2","","","7","7","1","13","4","120.676764","24.163126","3"
"17","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","0","59","臺中市","太平區","0","1","0","7","1","6","50","3","2","1","5","4","6","6","1","1","5","4","4","2","13","3","10","3","1","B12","7","9","5","19","2","1","","59","59","1","13","4","120.718358","24.104045","2"
"18","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","1","3","臺中市","北屯區","0","2","0","7","1","6","50","4","2","1","5","4","6","6","1","1","1","4","5","2","17","3","10","3","1","B03","7","1","1","8","2","8","","51","51","1","6","4","120.686388","24.195321","2"
"19","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","1","8","臺中市","太平區","0","0","0","7","","","50","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","11","11","1","12","4","120.722431","24.1127","3"
"20","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","1","9","臺中市","烏日區","0","0","0","7","","","60","","","","","","","","","","","","","","13","","","","","B03","","","1","","1","","","7","7","1","6","4","120.651847","24.104856","3"
"21","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","1","13","臺中市","中區","0","1","0","7","1","6","30","4","1","1","5","4","6","6","4","4","5","4","5","2","15","2","7","1","1","C03","7","9","1","10","8","11","","12","12","1","13","4","120.680916","24.141225","2"
"22","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","1","18","臺中市","西屯區","0","0","0","7","","","50","","","","","","","","","","","","","","","","","","","C03","","","1","","1","","","7","7","1","12","4","120.637033","24.165889","3"
"23","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","1","19","臺中市","北屯區","0","0","0","7","","","50","","","","","","","","","","","","","","","","","","","B03","","","1","","1","","","40","40","1","13","4","120.691938","24.162688","3"
"24","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","1","23","臺中市","西屯區","0","1","0","7","1","6","50","3","2","1","5","4","6","6","4","4","5","5","4","2","12","3","10","5","4","C03","7","6","1","10","2","11","","84","84","1","13","4","120.643665","24.184891","2"
"25","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","1","25","臺中市","南區","0","1","0","7","1","6","50","13","9","1","5","4","6","6","4","4","1","4","5","2","13","2","2","5","4","B03","7","9","1","8","2","1","","84","84","1","12","4","120.661357","24.121273","2"
"26","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","1","35","臺中市","北屯區","0","2","0","7","1","6","50","13","9","1","5","4","6","6","4","4","1","4","5","1","18","2","9","1","1","C03","7","9","1","10","1","12","","90","90","1","6","4","120.674511","24.201422","2"
"27","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","1","40","臺中市","大里區","0","0","0","7","","","50","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","39","39","1","12","4","120.687997","24.094237","3"
"28","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","1","50","臺中市","大里區","0","0","0","7","","","60","","","","","","","","","","","","","","","","","","","B03","","","3","","9","","","1","1","2","12","4","120.671433","24.102351","3"
"29","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","1","53","臺中市","后里區","0","0","0","7","1","6","50","4","2","1","5","4","6","6","4","4","9","5","4","1","13","3","10","2","1","C03","7","9","1","10","1","12","","84","84","1","12","4","120.720295","24.309182","3"
"30","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","1","57","臺中市","北區","0","2","0","7","1","6","50","3","1","1","5","4","6","6","2","1","5","5","5","2","17","3","10","3","1","B01","7","6","1","2","2","2","","84","84","1","6","4","120.668252","24.16683","2"
"31","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","2","3","臺中市","南屯區","0","2","0","7","1","6","50","4","1","1","5","4","6","6","2","1","10","5","5","2","16","3","10","5","4","B03","7","5","1","8","2","6","","47","47","1","6","4","120.610612","24.13211","2"
"32","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","2","10","臺中市","西屯區","0","1","0","7","1","6","50","13","9","1","5","4","6","6","4","4","5","4","5","2","18","2","9","2","1","C03","7","9","1","10","2","14","","6","6","1","12","4","120.645002","24.176854","2"
"33","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","2","12","臺中市","西區","0","0","0","7","","","30","","","","","","","","","","","","","","17","","","","","C03","","","1","","9","","","84","84","1","12","4","120.660969","24.149257","3"
"34","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","2","36","臺中市","潭子區","0","2","0","7","1","6","60","3","2","1","5","4","6","6","1","1","1","3","5","1","13","2","3","3","1","B03","7","1","1","8","2","1","","56","56","1","12","4","120.70392","24.202416","2"
"35","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","2","42","臺中市","西屯區","0","1","0","7","1","6","50","13","9","1","5","4","6","6","4","4","5","2","5","2","18","2","9","1","1","C03","7","9","3","19","2","12","","84","84","1","12","4","120.637882","24.180685","2"
"36","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","3","0","臺中市","西屯區","0","0","0","7","","","50","","","","","","","","","","","","","","12","","","","","B03","","","1","","1","","","87","87","1","12","4","120.639418","24.165598","3"
"37","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","3","7","臺中市","大里區","0","0","0","7","","","30","","","","","","","","","","","","","","","","","","","C03","","","1","","2","","","84","84","1","12","4","120.706128","24.110929","3"
"38","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","3","12","臺中市","豐原區","0","0","0","7","2","6","50","13","9","1","5","4","6","6","4","4","1","4","5","2","12","","","","","","","","","","","","","86","86","2","","","120.717686","24.236854","3"
"39","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","3","14","臺中市","東區","0","1","0","7","1","6","50","13","12","1","5","4","6","6","4","4","5","5","4","2","17","3","10","3","1","B03","7","6","1","8","2","6","","39","39","1","13","4","120.709713","24.149601","2"
"40","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","3","25","臺中市","南屯區","0","1","0","7","1","6","50","4","1","1","5","4","6","6","4","4","5","4","5","2","15","2","9","2","1","C03","7","9","1","10","2","11","","12","12","1","12","4","120.643015","24.136091","2"
"41","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","3","40","臺中市","太平區","0","0","0","7","","","50","","","","","","","","","","","","","","25","","","","","B03","","","1","","2","","","59","59","1","13","4","120.774667","24.103675","3"
"42","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","3","48","臺中市","西區","0","0","0","7","","","50","","","","","","","","","","","","","","15","","","","","B03","","","1","","1","","","24","24","1","13","4","120.658867","24.144323","3"
"43","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","3","55","臺中市","烏日區","0","0","0","7","","","40","","","","","","","","","","","","","","17","","","","","C03","","","1","","1","","","25","25","1","6","4","120.586685","24.113206","3"
"44","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","4","15","臺中市","烏日區","0","1","0","7","1","6","40","13","8","1","5","4","6","6","4","4","5","5","4","2","17","2","9","2","1","C03","7","9","1","10","2","11","","59","59","1","6","4","120.607091","24.122876","2"
"45","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","4","16","臺中市","豐原區","0","1","0","7","2","6","30","11","9","1","5","4","6","6","4","4","10","5","5","1","18","2","9","5","4","C03","7","9","1","10","2","11","","59","59","1","13","4","120.733951","24.263733","2"
"46","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","4","18","臺中市","北屯區","0","1","0","7","1","6","50","13","9","1","5","4","6","6","4","4","1","4","5","2","17","2","9","3","1","B03","7","9","1","8","2","5","","84","84","1","12","4","120.662062","24.185083","2"
"47","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","4","24","臺中市","霧峰區","0","2","0","7","1","6","25","11","9","1","5","4","6","6","4","4","5","5","5","1","17","2","9","5","4","C03","7","9","1","10","2","16","","83","83","1","12","4","120.723658","24.063441","2"
"48","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","4","43","臺中市","豐原區","0","1","0","7","2","6","50","3","1","1","5","4","6","6","3","1","10","5","5","1","17","2","9","5","4","B03","7","9","1","8","2","1","","59","59","1","13","4","120.729956","24.25336","2"
"49","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","5","0","臺中市","外埔區","0","1","0","7","1","6","30","3","2","1","5","4","6","6","4","4","10","5","5","1","22","2","9","2","1","C03","7","9","3","19","7","11","","84","84","1","12","4","120.664018","24.330043","2"
"50","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","6","5","臺中市","清水區","0","1","0","7","1","6","30","13","9","1","5","4","6","6","4","4","10","5","5","1","16","3","10","3","1","B03","7","5","1","8","2","5","","84","84","1","13","4","120.581967","24.269369","2"
"51","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","6","17","臺中市","南屯區","0","1","0","7","1","6","40","13","9","1","5","4","6","6","3","1","10","5","5","2","17","3","10","5","4","B03","7","1","1","8","2","8","","51","51","1","6","4","120.581108","24.143453","2"
"52","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","6","21","臺中市","外埔區","0","0","0","7","2","6","50","11","24","1","5","4","6","6","4","4","","4","4","1","24","","","","","B03","","","3","","11","","","59","59","2","6","4","120.654656","24.337395","3"
"53","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","6","24","臺中市","北屯區","0","0","0","7","","","50","","","","","","","","","","","","","","","","","","","C03","","","1","","2","","","15","15","1","13","4","120.677404","24.174849","3"
"54","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","6","30","臺中市","大里區","0","2","0","7","2","6","50","3","9","1","5","4","6","6","4","4","1","4","5","1","17","2","9","1","1","C03","7","9","1","10","2","11","","84","84","1","12","4","120.687719","24.094765","2"
"55","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","7","7","臺中市","潭子區","0","0","0","7","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","85","86","1","","","120.675503","24.203644","3"
"56","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","7","8","臺中市","西區","0","2","0","7","2","6","50","4","1","1","5","4","6","6","2","1","10","5","5","2","15","2","9","2","1","C03","7","9","1","10","2","12","","21","21","1","13","4","120.655036","24.150888","2"
"57","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","7","32","臺中市","西屯區","0","1","0","7","2","6","30","13","9","1","5","4","6","6","4","4","10","5","5","2","11","3","10","5","4","B03","7","6","1","8","1","8","","41","41","1","13","4","120.633656","24.171102","2"
"58","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","7","35","臺中市","北屯區","0","3","0","7","2","6","50","4","1","1","5","4","6","6","1","1","4","3","5","2","15","2","9","2","1","C03","7","9","1","10","2","11","12","21","21","1","13","4","120.697385","24.160843","2"
"59","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","7","36","臺中市","沙鹿區","0","0","0","7","","","40","","","","","","","","","","","","","","14","","","","","B12","","","1","","2","","","49","49","1","6","4","120.567635","24.203072","3"
"60","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","7","37","臺中市","西屯區","0","1","0","7","2","6","50","13","9","1","5","4","6","6","4","4","10","4","5","2","18","2","9","1","1","C03","7","9","1","10","2","12","","84","84","1","13","4","120.659356","24.176082","2"
"61","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","7","44","臺中市","南屯區","0","0","0","7","3","6","50","13","9","1","5","4","6","6","1","1","5","2","5","2","13","","","","","C03","","","1","","1","","","7","7","1","12","4","120.652981","24.140432","3"
"62","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","7","44","臺中市","太平區","0","0","0","7","","","30","","","","","","","","","","","","","","17","","","","","B12","","","1","","2","","","84","84","1","13","4","120.718091","24.121476","3"
"63","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","7","47","臺中市","龍井區","0","0","0","7","","","50","","","","","","","","","","","","","","13","","","","","C03","","","1","","1","","","7","7","1","6","4","120.589201","24.180689","3"
"64","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","8","8","臺中市","大里區","0","0","0","7","","","50","","","","","","","","","","","","","","","","","","","B02","","","1","","1","","","45","45","1","12","4","120.693045","24.090745","3"
"65","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","8","10","臺中市","西屯區","0","0","0","7","","","50","","","","","","","","","","","","","","","","","","","B03","","","1","","9","","","59","59","2","12","4","120.625671","24.154999","3"
"66","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","8","15","臺中市","潭子區","0","1","0","7","2","6","50","3","2","1","5","4","6","6","4","4","10","5","5","1","20","2","9","1","1","F03","7","9","7","21","2","11","","6","6","1","13","4","120.714822","24.207039","2"
"67","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","8","16","臺中市","大安區","0","1","0","7","2","6","50","13","9","1","5","4","6","6","4","4","5","5","5","1","16","3","10","3","1","B12","7","3","1","8","2","2","","50","50","1","6","4","120.586797","24.345702","2"
"68","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","8","29","臺中市","太平區","0","1","0","7","2","6","40","13","9","1","5","4","6","6","4","4","5","5","5","1","11","3","10","3","1","B03","7","4","1","8","2","2","","39","39","1","12","4","120.780057","24.108769","2"
"69","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","8","32","臺中市","后里區","0","3","0","7","2","6","50","13","7","1","5","4","6","6","4","4","9","4","4","1","12","2","9","1","1","C03","7","6","1","10","2","14","","59","59","1","6","4","120.721076","24.308975","2"
"70","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","8","39","臺中市","豐原區","0","2","0","7","2","6","50","4","9","1","5","4","6","6","2","1","1","4","5","1","15","3","10","3","1","B12","7","9","1","7","2","1","","21","21","1","12","4","120.73668","24.272909","2"
"71","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","8","40","臺中市","龍井區","0","2","0","7","2","6","50","4","2","1","5","4","6","6","1","1","10","5","5","2","3","2","9","1","1","F03","7","9","7","21","2","11","","6","6","1","6","4","120.583352","24.179648","2"
"72","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","8","45","臺中市","潭子區","0","1","0","7","3","6","30","5","1","1","5","4","6","6","3","1","10","5","5","1","17","3","10","2","1","C03","7","6","1","10","2","14","","84","84","1","13","4","120.680865","24.22093","2"
"73","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","8","53","臺中市","西屯區","0","1","0","7","2","6","30","4","1","1","5","4","6","6","3","1","10","5","5","2","15","2","1","1","4","C03","7","9","1","10","2","11","14","24","24","1","12","4","120.655344","24.178096","2"
"74","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","8","54","臺中市","太平區","0","2","0","7","2","6","50","4","1","1","5","4","6","6","1","1","10","5","5","2","15","2","7","2","1","C03","7","9","1","10","2","11","","21","21","1","13","4","120.707157","24.151224","2"
"75","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","8","55","臺中市","大里區","0","1","0","7","3","6","50","13","7","1","5","4","6","6","4","4","3","4","4","1","18","2","9","5","4","C03","7","9","1","10","2","14","","84","84","1","13","4","120.664818","24.094571","2"
"76","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","8","56","臺中市","龍井區","0","0","0","7","","","50","","","","","","","","","","","","","","13","","","","","C03","","","3","","1","","","7","7","1","6","4","120.592601","24.181595","3"
"77","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","9","1","臺中市","北屯區","0","3","0","7","2","6","50","4","1","1","5","4","6","6","3","1","10","5","5","2","15","2","9","5","4","C03","7","9","1","10","2","14","","24","24","1","12","4","120.690664","24.168735","2"
"78","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","9","4","臺中市","北屯區","0","1","0","7","3","6","50","4","1","1","5","4","6","6","1","1","10","5","5","2","16","2","8","1","1","C03","7","6","1","10","2","14","","11","11","1","12","4","120.676142","24.196653","2"
"79","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","9","6","臺中市","南屯區","0","1","0","7","2","6","60","13","9","1","5","4","6","6","4","4","5","4","5","2","17","2","9","1","1","C03","7","9","1","10","2","11","","84","84","1","8","4","120.652641","24.135988","2"
"80","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","9","7","臺中市","烏日區","0","1","0","7","2","6","50","4","1","1","5","4","6","6","1","1","10","5","5","2","16","2","8","1","1","C03","7","6","1","10","2","13","","20","20","1","6","4","120.646806","24.072168","2"
"81","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","9","19","臺中市","北區","0","1","0","7","3","6","50","4","1","1","5","4","6","6","3","1","5","5","5","2","17","3","10","3","1","B03","7","9","1","8","2","16","","24","24","1","12","4","120.697352","24.156708","2"
"82","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","9","22","臺中市","東勢區","0","1","0","7","2","6","50","13","9","1","5","4","6","6","4","4","5","5","5","1","18","2","9","4","1","F01","7","9","7","21","2","11","","84","84","1","12","1","120.845177","24.27295","2"
"83","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","9","25","臺中市","大里區","0","2","0","7","3","6","30","3","1","1","5","4","6","6","4","4","10","5","5","2","16","2","7","1","1","C03","7","6","1","10","2","11","","20","20","1","12","4","120.662479","24.10251","2"
"84","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","9","33","臺中市","東區","0","1","0","7","3","6","50","13","9","1","5","4","6","6","4","4","5","5","5","2","17","3","10","3","1","B03","7","11","1","8","2","7","","39","39","1","6","4","120.692806","24.135749","2"
"85","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","9","39","臺中市","東區","0","2","0","7","3","6","50","13","9","1","5","4","6","6","4","4","5","4","5","2","12","2","9","1","1","C03","7","8","1","10","2","14","","40","40","1","6","4","120.690249","24.140048","2"
"86","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","9","55","臺中市","沙鹿區","0","1","0","6","2","6","30","3","2","1","5","4","6","6","4","4","10","5","5","2","17","3","10","3","1","B03","7","5","1","8","2","5","","41","41","1","12","4","120.572988","24.257585","2"
"87","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","10","4","臺中市","大甲區","0","1","0","7","3","6","60","13","7","1","5","4","6","6","4","4","1","4","4","1","12","2","9","1","1","C03","7","8","1","10","2","14","","40","40","1","12","4","120.616943","24.348811","2"
"88","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","10","10","臺中市","太平區","0","2","0","7","2","6","50","3","1","1","5","4","6","6","4","4","9","5","5","2","3","2","9","1","1","C03","7","9","1","10","2","14","","84","84","1","12","4","120.720554","24.128071","2"
"89","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","10","10","臺中市","沙鹿區","0","1","0","7","2","6","40","3","1","1","5","4","6","6","4","4","10","5","5","2","16","2","8","1","1","C03","7","6","1","10","2","14","","48","48","1","12","4","120.562593","24.237408","2"
"90","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","10","16","臺中市","大甲區","0","1","0","7","2","6","50","13","9","1","5","4","6","6","4","4","10","5","5","2","16","2","9","2","1","C03","7","6","3","19","2","11","","20","20","1","6","4","120.65607","24.381446","2"
"91","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","10","18","臺中市","南屯區","0","0","0","7","","","50","","","","","","","","","","","","","","16","","","","","B03","","","1","","9","","","25","25","2","12","4","120.640557","24.144447","3"
"92","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","10","20","臺中市","神岡區","0","1","0","6","2","6","30","13","9","1","5","4","6","6","4","4","10","5","5","2","10","3","10","1","1","C03","7","9","1","9","2","11","","41","41","1","6","4","120.708112","24.262623","2"
"93","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","10","36","臺中市","西屯區","0","0","0","7","","","50","","","","","","","","","","","","","","16","","","","","C03","","","1","","2","","","11","11","1","13","4","120.62012","24.187148","3"
"94","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","10","40","臺中市","潭子區","0","0","0","7","3","6","40","4","1","1","5","4","6","6","1","1","5","4","4","2","17","3","10","2","1","C03","7","9","3","19","5","14","","84","84","1","13","4","120.706818","24.207054","3"
"95","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","10","40","臺中市","南屯區","0","0","0","7","","","50","","","","","","","","","","","","","","","","","","","B03","","","1","","1","","","49","49","1","12","4","120.649628","24.126752","3"
"96","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","10","40","臺中市","北屯區","0","0","0","7","","","50","","","","","","","","","","","","","","9","","","","","C03","","","1","10","2","","","40","40","1","12","4","120.66425","24.185473","3"
"97","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","10","42","臺中市","豐原區","0","1","0","7","2","6","50","4","2","1","5","4","6","6","4","4","5","5","4","2","13","3","10","2","1","C03","7","9","1","10","2","11","","7","7","1","12","4","120.71566","24.249247","2"
"98","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","10","44","臺中市","豐原區","0","1","0","7","2","6","50","4","8","1","5","4","6","6","1","1","10","4","4","2","17","3","10","3","1","B03","7","7","1","8","2","5","","40","40","1","13","4","120.71882","24.251677","2"
"99","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","10","47","臺中市","東勢區","0","2","0","7","2","6","50","13","7","1","5","4","6","6","3","1","1","5","4","1","17","2","9","2","1","C03","7","9","1","10","2","13","","85","85","1","12","4","120.837075","24.230528","2"
"100","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","10","49","臺中市","西區","0","1","0","7","1","6","50","4","1","1","5","4","6","6","1","1","10","5","5","1","17","3","10","5","4","B03","7","9","1","8","2","4","","85","85","1","12","4","120.659836","24.157185","2"
"101","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","10","55","臺中市","后里區","0","0","0","7","2","6","50","3","8","1","5","4","6","6","4","4","3","4","4","2","13","","","","","B03","","","1","","2","","","7","7","1","6","4","120.700655","24.323493","3"
"102","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","11","0","臺中市","潭子區","0","0","0","7","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","119","119","1","","","120.70724","24.210622","3"
"103","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","11","0","臺中市","霧峰區","0","0","0","7","","","","","","","","","","","","","","","","","30","","","","","","","","","","","","","119","119","1","","","120.718325","24.07712","3"
"104","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","11","3","臺中市","龍井區","0","1","0","7","2","6","50","13","14","1","5","4","6","6","4","4","5","5","4","1","13","2","9","6","1","F01","7","9","7","21","4","11","","84","84","1","12","4","120.530826","24.178307","2"
"105","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","11","5","臺中市","西屯區","0","1","0","7","2","6","50","3","1","1","5","4","6","6","4","4","8","5","5","2","17","2","9","5","4","C03","7","6","1","10","2","11","","84","84","1","13","4","120.659205","24.196375","2"
